년(Annual),시도,시군구,계,전,답,과수원,목장용지,임야,광천지,염전,대,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
2018,경기,수원시(계),121041548.5,7636655.6,10076515,71780,497898,25536108.9,0,0,32438603.7,3397663,4505700.9,466886.4,207825.8,107834.1,15413415.6,803193.5,36638.1,2632833.1,1303625.8,1724460.7,3078,276659.4,6332232.8,506273.9,9527,420367.2,32802,139155,6463815
2018,경기,성남시(계),141638215.3,5273092.5,4578878.6,109937,35928,62454922.3,0,0,23952962.5,1160789,2833869.4,500484.6,134452.4,14004.9,16015934.7,159540,74112.4,3542698.6,1016255.3,408367.3,3279,870920.7,8199762.6,939230.6,356260.6,266663.7,10331,763061.3,7962476.3
2018,경기,안양시(계),58463653.5,986517.5,507859.1,24333,4785,29366040.4,0,0,11919782.8,1371253.4,1844232.3,129207.9,49736.7,84898,5863557.4,304562.8,16865.7,1747653.4,214458.3,103,0,131635.7,1182164.8,199202.6,140.1,169444.6,0,25955.4,2319263.6
2018,경기,안산시(계),155642324.6,12109148.2,11062539.4,619622.8,429633.5,52658393.8,0,2196686,19012969.1,12719568.9,3681846.2,415530.4,134961.4,242017.5,16978768.5,1023084.1,1069380.9,1795150.5,1409823.7,4035761.2,53391,405715.9,5251525,2753642.2,930105.4,192400.6,0,600599,3860059.4
2018,경기,고양시(계),268076620,27795102.2,31437491.5,732751,1589904.1,84531471.1,0,0,33638855.8,3142512.8,2364883.4,243969.2,238982.8,1852737.6,19880098.1,3323172.5,604803.4,24350451.6,6863321.5,300154.4,72533.9,433773.5,7307256.4,3949707.6,102259,420227.9,2162474,1862728.7,8874996
2018,경기,과천시,35868007.2,2712820,2080991,44843,25581,22734599.6,0,0,3071384.4,0,155513.2,53679.7,12881.1,22206,2229202.2,21272.5,31537,559279.6,295366.7,226950,0,138833.6,249573.7,11804,787423.3,22281.2,0,37928,342056.4
2018,경기,구리시,33316965.4,4158542.8,1069150.7,305092.6,172653,11909201.7,0,0,4232644.8,68521.5,468394.5,44772.1,33336.6,80115,3646189.4,91114.9,252725.9,3948191,375968.5,227433,6940,81243.6,321058.9,79047.2,0,65211.6,0,242544,1436872.1
2018,경기,남양주시,458101929.2,29642618.6,26763274.9,1824048,2848377,298665974.9,0,0,25844388.7,5412431.6,1883112.7,186971.4,144252.1,909810,15587252.5,1744096.1,288093,21884063.1,5460167.8,574643.3,16986,1214790.9,2389365.8,4954525.4,154473,585685.1,581691,2643380,5897456.3
2018,경기,오산시,42722586.8,3724689.9,5713097.4,202600.1,99683,10662661.3,0,0,7908258.3,2305943.2,890021.1,183006.4,74747.5,351751.1,5224342.7,545440.1,163498.5,863989.2,646479.5,289671.6,0,24028.8,1369638.5,126392.5,304724,129354.9,0,117848,800719.2
2018,경기,시흥시,138652287.4,20570926.2,14762284.5,313517.4,1537580,37657152.9,0,3330801,13812382.2,9023827,1382317.6,246873.2,156864.9,174535.7,17927258.3,730102.2,818212.8,1953404.6,2203915.2,1799890.1,87235,559283.3,4227308.4,917672.6,7464,98359.2,4646,312555.3,4035917.8
